invoice_id,customer_id,plan,amount,currency,payment_status,payment_method,due_date,paid_date,refund_status
INV-000033,CUST-00009,Starter,283.9,USD,Paid,Credit Card,2025-11-26,2025-12-02,Not Requested
INV-000034,CUST-00009,Starter,283.9,USD,Paid,Credit Card,2025-12-26,2025-12-27,Not Requested
INV-000035,CUST-00009,Starter,283.9,USD,Pending,Credit Card,2026-01-25,,Not Requested
INV-000036,CUST-00009,Starter,283.9,USD,Paid,Credit Card,2026-02-24,2026-03-03,Not Requested
INV-000037,CUST-00009,Starter,283.9,USD,Paid,Credit Card,2026-03-26,2026-03-29,Not Requested
INV-000038,CUST-00009,Starter,283.9,USD,Failed,Credit Card,2026-04-25,,Requested
INV-000039,CUST-00009,Starter,283.9,USD,Paid,PayPal,2026-05-25,2026-05-30,Not Requested
INV-000040,CUST-00009,Starter,283.9,USD,Paid,Credit Card,2026-06-24,2026-06-28,Not Requested
INV-000041,CUST-00009,Starter,283.9,USD,Paid,Credit Card,2026-07-24,2026-07-26,Not Requested
INV-000042,CUST-00010,Professional,88440.91,USD,Failed,Credit Card,2025-10-27,,Not Requested
INV-000043,CUST-00011,Starter,113.19,USD,Paid,Credit Card,2025-08-28,2025-08-30,Not Requested
INV-000044,CUST-00011,Starter,113.19,USD,Paid,Credit Card,2025-09-27,2025-09-29,Not Requested
INV-000045,CUST-00011,Starter,113.19,USD,Paid,Credit Card,2025-10-27,2025-11-02,Not Requested
INV-000046,CUST-00011,Starter,113.19,USD,Paid,PayPal,2025-11-26,2025-11-29,Not Requested
INV-000047,CUST-00011,Starter,113.19,USD,Paid,Credit Card,2025-12-26,2025-12-29,Not Requested
INV-000048,CUST-00011,Starter,113.19,USD,Paid,ACH Bank Transfer,2026-01-25,2026-01-26,Not Requested
INV-000049,CUST-00011,Starter,113.19,USD,Paid,Credit Card,2026-02-24,2026-02-26,Not Requested
INV-000050,CUST-00011,Starter,113.19,USD,Paid,Credit Card,2026-03-26,2026-04-01,Not Requested
INV-000051,CUST-00011,Starter,113.19,USD,Paid,Credit Card,2026-04-25,2026-04-26,Not Requested
INV-000052,CUST-00011,Starter,113.19,USD,Paid,Credit Card,2026-05-25,2026-05-27,Not Requested
INV-000053,CUST-00011,Starter,113.19,USD,Paid,Credit Card,2026-06-24,2026-06-25,Not Requested
INV-000054,CUST-00011,Starter,113.19,USD,Paid,Credit Card,2026-07-24,2026-07-26,Not Requested
INV-000055,CUST-00012,Starter,332.87,GBP,Paid,Credit Card,2025-10-06,2025-10-10,Not Requested
INV-000056,CUST-00012,Starter,332.87,GBP,Paid,ACH Bank Transfer,2025-11-05,2025-11-06,Not Requested
INV-000057,CUST-00012,Starter,332.87,GBP,Paid,PayPal,2025-12-05,2025-12-14,Not Requested
INV-000058,CUST-00012,Starter,332.87,GBP,Paid,Credit Card,2026-01-04,2026-01-09,Not Requested
INV-000059,CUST-00012,Starter,332.87,GBP,Paid,Credit Card,2026-02-03,2026-02-09,Not Requested
INV-000060,CUST-00013,Starter,131.08,USD,Paid,Credit Card,2025-08-28,2025-08-31,Not Requested
INV-000061,CUST-00013,Starter,131.08,USD,Paid,Credit Card,2025-09-27,2025-10-01,Not Requested
INV-000062,CUST-00013,Starter,131.08,USD,Paid,Credit Card,2025-10-27,2025-10-28,Not Requested
INV-000063,CUST-00013,Starter,131.08,USD,Paid,Credit Card,2025-11-26,2025-12-01,Not Requested
INV-000064,CUST-00013,Starter,131.08,USD,Failed,Credit Card,2025-12-26,,Not Requested
INV-000065,CUST-00013,Starter,131.08,USD,Paid,PayPal,2026-01-25,2026-01-27,Not Requested
INV-000066,CUST-00013,Starter,131.08,USD,Paid,Credit Card,2026-02-24,2026-02-28,Not Requested
INV-000067,CUST-00013,Starter,131.08,USD,Paid,Credit Card,2026-03-26,2026-03-26,Not Requested
INV-000068,CUST-00013,Starter,131.08,USD,Paid,Credit Card,2026-04-25,2026-05-04,Not Requested
INV-000069,CUST-00013,Starter,131.08,USD,Paid,Credit Card,2026-05-25,2026-05-29,Not Requested
INV-000070,CUST-00013,Starter,131.08,USD,Paid,Credit Card,2026-06-24,2026-06-26,Not Requested
INV-000071,CUST-00013,Starter,131.08,USD,Failed,Credit Card,2026-07-24,,Not Requested
INV-000072,CUST-00014,Professional,5613.08,USD,Paid,Credit Card,2025-08-28,2025-08-29,Not Requested
INV-000073,CUST-00014,Professional,5613.08,USD,Paid,Credit Card,2025-09-27,2025-09-28,Not Requested
INV-000074,CUST-00014,Professional,5613.08,USD,Paid,Credit Card,2025-10-27,2025-10-28,Not Requested
INV-000075,CUST-00014,Professional,5613.08,USD,Paid,Credit Card,2025-11-26,2025-11-28,Not Requested
INV-000076,CUST-00014,Professional,5613.08,USD,Paid,Credit Card,2025-12-26,2025-12-26,Not Requested
INV-000077,CUST-00014,Professional,5613.08,USD,Failed,ACH Bank Transfer,2026-01-25,,Not Requested
INV-000078,CUST-00014,Professional,5613.08,USD,Paid,Credit Card,2026-02-24,2026-02-26,Not Requested
INV-000079,CUST-00014,Professional,5613.08,USD,Paid,Credit Card,2026-03-26,2026-03-28,Not Requested
INV-000080,CUST-00014,Professional,5613.08,USD,Paid,Credit Card,2026-04-25,2026-04-25,Not Requested
INV-000081,CUST-00014,Professional,5613.08,USD,Paid,Credit Card,2026-05-25,2026-05-30,Not Requested
INV-000082,CUST-00014,Professional,5613.08,USD,Paid,ACH Bank Transfer,2026-06-24,2026-06-24,Not Requested
INV-000083,CUST-00014,Professional,5613.08,USD,Paid,Credit Card,2026-07-24,2026-07-24,Not Requested
INV-000084,CUST-00015,Enterprise,2316721.79,USD,Refunded,ACH Bank Transfer,2026-01-28,2026-01-28,Approved - Refunded
INV-000085,CUST-00016,Starter,436.59,USD,Paid,Credit Card,2025-08-28,2025-08-30,Not Requested
INV-000086,CUST-00016,Starter,436.59,USD,Paid,Credit Card,2025-09-27,2025-09-27,Not Requested
INV-000087,CUST-00016,Starter,436.59,USD,Paid,Credit Card,2025-10-27,2025-10-27,Not Requested
INV-000088,CUST-00016,Starter,436.59,USD,Refunded,Credit Card,2025-11-26,2025-12-03,Approved - Refunded
INV-000089,CUST-00016,Starter,436.59,USD,Paid,Credit Card,2025-12-26,2025-12-30,Not Requested
INV-000090,CUST-00016,Starter,436.59,USD,Paid,Credit Card,2026-01-25,2026-01-28,Not Requested
INV-000091,CUST-00016,Starter,436.59,USD,Paid,PayPal,2026-02-24,2026-02-26,Not Requested
INV-000092,CUST-00016,Starter,436.59,USD,Paid,Credit Card,2026-03-26,2026-03-27,Not Requested
INV-000093,CUST-00016,Starter,436.59,USD,Paid,Credit Card,2026-04-25,2026-04-27,Not Requested
INV-000094,CUST-00016,Starter,436.59,USD,Paid,Credit Card,2026-05-25,2026-05-25,Not Requested
INV-000095,CUST-00016,Starter,436.59,USD,Paid,Credit Card,2026-06-24,2026-06-26,Not Requested
INV-000096,CUST-00016,Starter,436.59,USD,Paid,Credit Card,2026-07-24,2026-07-27,Not Requested
INV-000097,CUST-00017,Starter,608.59,USD,Paid,Credit Card,2025-08-28,2025-09-02,Not Requested
INV-000098,CUST-00017,Starter,608.59,USD,Paid,PayPal,2025-09-27,2025-10-01,Not Requested
INV-000099,CUST-00017,Starter,608.59,USD,Paid,Credit Card,2025-10-27,2025-10-30,Not Requested
INV-000100,CUST-00017,Starter,608.59,USD,Paid,Credit Card,2025-11-26,2025-12-01,Not Requested
INV-000101,CUST-00017,Starter,608.59,USD,Failed,Credit Card,2025-12-26,,Requested
INV-000102,CUST-00017,Starter,608.59,USD,Paid,Credit Card,2026-01-25,2026-01-25,Not Requested
INV-000103,CUST-00017,Starter,608.59,USD,Paid,Credit Card,2026-02-24,2026-02-25,Not Requested
INV-000104,CUST-00017,Starter,608.59,USD,Paid,Credit Card,2026-03-26,2026-03-31,Not Requested
INV-000105,CUST-00017,Starter,608.59,USD,Paid,PayPal,2026-04-25,2026-04-28,Not Requested
INV-000106,CUST-00017,Starter,608.59,USD,Paid,Credit Card,2026-05-25,2026-05-29,Not Requested
INV-000107,CUST-00017,Starter,608.59,USD,Pending,Credit Card,2026-06-24,,Not Requested
INV-000108,CUST-00017,Starter,608.59,USD,Paid,Credit Card,2026-07-24,2026-07-27,Not Requested
INV-000109,CUST-00018,Starter,8315.84,CAD,Paid,Credit Card,2025-08-28,2025-08-29,Not Requested
INV-000110,CUST-00019,Professional,55991.77,USD,Paid,Credit Card,2025-08-28,2025-08-31,Not Requested
INV-000111,CUST-00020,Starter,712.99,USD,Paid,Credit Card,2025-08-28,2025-08-31,Not Requested
INV-000112,CUST-00020,Starter,712.99,USD,Paid,Credit Card,2025-09-27,2025-10-01,Not Requested
INV-000113,CUST-00020,Starter,712.99,USD,Paid,Credit Card,2025-10-27,2025-10-28,Not Requested
INV-000114,CUST-00020,Starter,712.99,USD,Paid,Credit Card,2025-11-26,2025-11-28,Not Requested
INV-000115,CUST-00020,Starter,712.99,USD,Paid,Credit Card,2025-12-26,2025-12-27,Not Requested
INV-000116,CUST-00020,Starter,712.99,USD,Paid,Credit Card,2026-01-25,2026-01-25,Not Requested
INV-000117,CUST-00020,Starter,712.99,USD,Paid,Credit Card,2026-02-24,2026-03-04,Not Requested
INV-000118,CUST-00020,Starter,712.99,USD,Paid,Credit Card,2026-03-26,2026-03-30,Not Requested
INV-000119,CUST-00020,Starter,712.99,USD,Paid,Credit Card,2026-04-25,2026-04-26,Not Requested
INV-000120,CUST-00020,Starter,712.99,USD,Paid,Credit Card,2026-05-25,2026-05-25,Not Requested
INV-000121,CUST-00020,Starter,712.99,USD,Paid,Credit Card,2026-06-24,2026-06-25,Not Requested
INV-000122,CUST-00020,Starter,712.99,USD,Paid,PayPal,2026-07-24,2026-07-24,Not Requested
INV-000123,CUST-00021,Starter,2402.96,USD,Paid,Credit Card,2025-08-28,2025-08-28,Not Requested
INV-000124,CUST-00022,Professional,15300.99,CAD,Paid,Credit Card,2025-08-28,2025-08-30,Not Requested
INV-000125,CUST-00023,Enterprise,1924005.65,USD,Paid,Wire Transfer,2025-08-28,2025-08-31,Not Requested
INV-000126,CUST-00024,Starter,6282.7,USD,Paid,Credit Card,2025-08-28,2025-08-30,Not Requested
INV-000127,CUST-00025,Professional,2155.34,EUR,Paid,ACH Bank Transfer,2025-08-28,2025-08-28,Not Requested
INV-000128,CUST-00025,Professional,2155.34,EUR,Paid,Credit Card,2025-09-27,2025-09-28,Not Requested
INV-000129,CUST-00025,Professional,2155.34,EUR,Paid,Credit Card,2025-10-27,2025-10-31,Not Requested
INV-000130,CUST-00025,Professional,2155.34,EUR,Paid,ACH Bank Transfer,2025-11-26,2025-11-26,Not Requested
INV-000131,CUST-00025,Professional,2155.34,EUR,Paid,Credit Card,2025-12-26,2025-12-28,Not Requested
INV-000132,CUST-00025,Professional,2155.34,EUR,Paid,Credit Card,2026-01-25,2026-01-30,Not Requested
INV-000133,CUST-00025,Professional,2155.34,EUR,Paid,Credit Card,2026-02-24,2026-02-24,Not Requested
INV-000134,CUST-00025,Professional,2155.34,EUR,Paid,Credit Card,2026-03-26,2026-03-27,Not Requested
INV-000135,CUST-00025,Professional,2155.34,EUR,Paid,Credit Card,2026-04-25,2026-04-29,Not Requested
INV-000136,CUST-00025,Professional,2155.34,EUR,Paid,ACH Bank Transfer,2026-05-25,2026-05-28,Not Requested
INV-000137,CUST-00025,Professional,2155.34,EUR,Paid,Credit Card,2026-06-24,2026-06-28,Not Requested
INV-000138,CUST-00025,Professional,2155.34,EUR,Paid,ACH Bank Transfer,2026-07-24,2026-08-01,Not Requested
INV-000139,CUST-00026,Starter,844.58,EUR,Paid,Credit Card,2025-08-28,2025-08-29,Not Requested
INV-000140,CUST-00027,Professional,5067.67,USD,Paid,PayPal,2025-08-28,2025-08-30,Not Requested
INV-000141,CUST-00027,Professional,5067.67,USD,Paid,Credit Card,2025-09-27,2025-09-28,Not Requested
INV-000142,CUST-00027,Professional,5067.67,USD,Failed,Credit Card,2025-10-27,,Requested
INV-000143,CUST-00027,Professional,5067.67,USD,Paid,ACH Bank Transfer,2025-11-26,2025-11-29,Not Requested
INV-000144,CUST-00027,Professional,5067.67,USD,Paid,Credit Card,2025-12-26,2025-12-30,Not Requested
INV-000145,CUST-00027,Professional,5067.67,USD,Paid,Credit Card,2026-01-25,2026-01-27,Not Requested
INV-000146,CUST-00027,Professional,5067.67,USD,Paid,ACH Bank Transfer,2026-02-24,2026-02-24,Not Requested
INV-000147,CUST-00027,Professional,5067.67,USD,Paid,Credit Card,2026-03-26,2026-03-26,Not Requested
INV-000148,CUST-00027,Professional,5067.67,USD,Paid,Credit Card,2026-04-25,2026-04-28,Not Requested
INV-000149,CUST-00027,Professional,5067.67,USD,Paid,ACH Bank Transfer,2026-05-25,2026-05-25,Not Requested
INV-000150,CUST-00027,Professional,5067.67,USD,Paid,Credit Card,2026-06-24,2026-06-25,Not Requested
INV-000151,CUST-00027,Professional,5067.67,USD,Failed,Credit Card,2026-07-24,,Not Requested
INV-000152,CUST-00028,Starter,397.08,USD,Paid,Credit Card,2025-10-26,2025-10-29,Not Requested
INV-000153,CUST-00028,Starter,397.08,USD,Failed,Credit Card,2025-11-25,,Not Requested
INV-000154,CUST-00028,Starter,397.08,USD,Paid,Credit Card,2025-12-25,2025-12-25,Not Requested
INV-000155,CUST-00028,Starter,397.08,USD,Paid,Credit Card,2026-01-24,2026-01-24,Not Requested
INV-000156,CUST-00028,Starter,397.08,USD,Paid,Credit Card,2026-02-23,2026-02-23,Not Requested
INV-000157,CUST-00028,Starter,397.08,USD,Paid,PayPal,2026-03-25,2026-03-28,Not Requested
INV-000158,CUST-00028,Starter,397.08,USD,Paid,Credit Card,2026-04-24,2026-04-29,Not Requested
INV-000159,CUST-00028,Starter,397.08,USD,Paid,Credit Card,2026-05-24,2026-05-24,Not Requested
INV-000160,CUST-00028,Starter,397.08,USD,Paid,Credit Card,2026-06-23,2026-06-23,Not Requested
INV-000161,CUST-00028,Starter,397.08,USD,Refunded,Credit Card,2026-07-23,2026-07-24,Approved - Refunded
INV-000162,CUST-00030,Enterprise,2134153.56,USD,Paid,Wire Transfer,2025-08-28,2025-08-31,Not Requested
INV-000163,CUST-00031,Starter,4164.05,USD,Paid,Credit Card,2025-08-28,2025-08-30,Not Requested
INV-000164,CUST-00032,Professional,9532.53,USD,Paid,ACH Bank Transfer,2025-08-28,2025-08-28,Not Requested
INV-000165,CUST-00032,Professional,9532.53,USD,Failed,Credit Card,2025-09-27,,Not Requested
INV-000166,CUST-00032,Professional,9532.53,USD,Paid,Credit Card,2025-10-27,2025-10-28,Not Requested
INV-000167,CUST-00032,Professional,9532.53,USD,Paid,ACH Bank Transfer,2025-11-26,2025-11-28,Not Requested
INV-000168,CUST-00032,Professional,9532.53,USD,Paid,Credit Card,2025-12-26,2025-12-28,Not Requested
INV-000169,CUST-00032,Professional,9532.53,USD,Paid,Credit Card,2026-01-25,2026-01-26,Not Requested
INV-000170,CUST-00032,Professional,9532.53,USD,Paid,ACH Bank Transfer,2026-02-24,2026-02-24,Not Requested
INV-000171,CUST-00032,Professional,9532.53,USD,Paid,Credit Card,2026-03-26,2026-04-01,Not Requested
INV-000172,CUST-00032,Professional,9532.53,USD,Paid,Credit Card,2026-04-25,2026-04-26,Not Requested
INV-000173,CUST-00032,Professional,9532.53,USD,Pending,Credit Card,2026-05-25,,Not Requested
INV-000174,CUST-00032,Professional,9532.53,USD,Paid,Credit Card,2026-06-24,2026-06-24,Not Requested
INV-000175,CUST-00032,Professional,9532.53,USD,Paid,Credit Card,2026-07-24,2026-07-24,Not Requested
INV-000176,CUST-00033,Starter,871.89,AUD,Paid,PayPal,2025-08-28,2025-08-28,Not Requested
INV-000177,CUST-00033,Starter,871.89,AUD,Paid,Credit Card,2025-09-27,2025-09-30,Not Requested
INV-000178,CUST-00033,Starter,871.89,AUD,Paid,Credit Card,2025-10-27,2025-10-28,Not Requested
INV-000179,CUST-00033,Starter,871.89,AUD,Paid,Credit Card,2025-11-26,2025-11-27,Not Requested
INV-000180,CUST-00033,Starter,871.89,AUD,Paid,Credit Card,2025-12-26,2025-12-28,Not Requested
INV-000181,CUST-00033,Starter,871.89,AUD,Paid,PayPal,2026-01-25,2026-01-27,Not Requested
INV-000182,CUST-00033,Starter,871.89,AUD,Paid,Credit Card,2026-02-24,2026-03-01,Not Requested
INV-000183,CUST-00033,Starter,871.89,AUD,Paid,Credit Card,2026-03-26,2026-03-27,Not Requested
INV-000184,CUST-00033,Starter,871.89,AUD,Paid,Credit Card,2026-04-25,2026-04-27,Not Requested
INV-000185,CUST-00033,Starter,871.89,AUD,Paid,Credit Card,2026-05-25,2026-05-28,Not Requested
INV-000186,CUST-00033,Starter,871.89,AUD,Paid,Credit Card,2026-06-24,2026-06-24,Not Requested
INV-000187,CUST-00033,Starter,871.89,AUD,Paid,Credit Card,2026-07-24,2026-07-24,Not Requested
INV-000188,CUST-00034,Starter,1579.91,USD,Paid,PayPal,2025-08-28,2025-08-28,Not Requested
INV-000189,CUST-00035,Professional,2138.45,USD,Paid,Credit Card,2025-08-28,2025-08-28,Not Requested
INV-000190,CUST-00035,Professional,2138.45,USD,Paid,Credit Card,2025-09-27,2025-10-02,Not Requested
INV-000191,CUST-00035,Professional,2138.45,USD,Paid,ACH Bank Transfer,2025-10-27,2025-11-01,Not Requested
INV-000192,CUST-00035,Professional,2138.45,USD,Paid,Credit Card,2025-11-26,2025-11-26,Not Requested
INV-000193,CUST-00035,Professional,2138.45,USD,Failed,Credit Card,2025-12-26,,Not Requested
INV-000194,CUST-00035,Professional,2138.45,USD,Paid,ACH Bank Transfer,2026-01-25,2026-01-25,Not Requested
INV-000195,CUST-00035,Professional,2138.45,USD,Paid,Credit Card,2026-02-24,2026-03-01,Not Requested
INV-000196,CUST-00035,Professional,2138.45,USD,Paid,Credit Card,2026-03-26,2026-03-26,Not Requested
INV-000197,CUST-00035,Professional,2138.45,USD,Paid,ACH Bank Transfer,2026-04-25,2026-04-26,Not Requested
INV-000198,CUST-00035,Professional,2138.45,USD,Paid,Credit Card,2026-05-25,2026-05-26,Not Requested
INV-000199,CUST-00035,Professional,2138.45,USD,Paid,Credit Card,2026-06-24,2026-06-24,Not Requested
INV-000200,CUST-00035,Professional,2138.45,USD,Paid,ACH Bank Transfer,2026-07-24,2026-07-24,Not Requested
INV-000201,CUST-00036,Professional,36973.88,USD,Paid,Credit Card,2025-08-28,2025-08-28,Not Requested
INV-000202,CUST-00037,Starter,7089.44,USD,Paid,Credit Card,2025-08-28,2025-09-04,Not Requested
INV-000203,CUST-00039,Starter,2678.13,GBP,Paid,Credit Card,2025-08-28,2025-08-30,Not Requested
INV-000204,CUST-00040,Enterprise,77066.8,USD,Paid,ACH Bank Transfer,2025-08-28,2025-08-28,Not Requested
INV-000205,CUST-00041,Starter,246.03,USD,Paid,Credit Card,2025-08-28,2025-08-29,Not Requested
INV-000206,CUST-00041,Starter,246.03,USD,Paid,Credit Card,2025-09-27,2025-10-01,Not Requested
INV-000207,CUST-00041,Starter,246.03,USD,Paid,Credit Card,2025-10-27,2025-10-28,Not Requested
INV-000208,CUST-00041,Starter,246.03,USD,Paid,Credit Card,2025-11-26,2025-12-01,Not Requested
INV-000209,CUST-00041,Starter,246.03,USD,Paid,Credit Card,2025-12-26,2025-12-30,Not Requested
INV-000210,CUST-00041,Starter,246.03,USD,Paid,Credit Card,2026-01-25,2026-01-28,Not Requested
INV-000211,CUST-00041,Starter,246.03,USD,Paid,Credit Card,2026-02-24,2026-02-24,Not Requested
INV-000212,CUST-00041,Starter,246.03,USD,Paid,Credit Card,2026-03-26,2026-03-31,Not Requested
INV-000213,CUST-00041,Starter,246.03,USD,Paid,ACH Bank Transfer,2026-04-25,2026-04-27,Not Requested
INV-000214,CUST-00041,Starter,246.03,USD,Paid,Credit Card,2026-05-25,2026-06-02,Not Requested
INV-000215,CUST-00041,Starter,246.03,USD,Paid,Credit Card,2026-06-24,2026-06-30,Not Requested
INV-000216,CUST-00041,Starter,246.03,USD,Paid,Credit Card,2026-07-24,2026-08-02,Not Requested
INV-000217,CUST-00042,Professional,95984.81,USD,Paid,ACH Bank Transfer,2025-08-28,2025-08-28,Not Requested
INV-000218,CUST-00043,Starter,101.05,USD,Paid,Credit Card,2026-03-04,2026-03-10,Not Requested
INV-000219,CUST-00043,Starter,101.05,USD,Paid,Credit Card,2026-04-03,2026-04-03,Not Requested
INV-000220,CUST-00043,Starter,101.05,USD,Paid,Credit Card,2026-05-03,2026-05-04,Not Requested
INV-000221,CUST-00043,Starter,101.05,USD,Paid,Credit Card,2026-06-02,2026-06-03,Not Requested
INV-000222,CUST-00043,Starter,101.05,USD,Paid,Credit Card,2026-07-02,2026-07-02,Not Requested
INV-000223,CUST-00043,Starter,101.05,USD,Failed,Credit Card,2026-08-01,,Not Requested
INV-000224,CUST-00044,Professional,7047.22,USD,Paid,Credit Card,2025-08-28,2025-08-28,Not Requested
INV-000225,CUST-00044,Professional,7047.22,USD,Paid,Credit Card,2025-09-27,2025-10-03,Not Requested
INV-000226,CUST-00044,Professional,7047.22,USD,Paid,ACH Bank Transfer,2025-10-27,2025-10-28,Not Requested
INV-000227,CUST-00044,Professional,7047.22,USD,Paid,PayPal,2025-11-26,2025-11-26,Not Requested
INV-000228,CUST-00044,Professional,7047.22,USD,Paid,PayPal,2025-12-26,2025-12-30,Not Requested
INV-000229,CUST-00044,Professional,7047.22,USD,Paid,Credit Card,2026-01-25,2026-01-28,Not Requested
INV-000230,CUST-00044,Professional,7047.22,USD,Paid,ACH Bank Transfer,2026-02-24,2026-02-24,Not Requested
INV-000231,CUST-00044,Professional,7047.22,USD,Paid,Credit Card,2026-03-26,2026-03-29,Not Requested
INV-000232,CUST-00044,Professional,7047.22,USD,Paid,Credit Card,2026-04-25,2026-04-25,Not Requested
INV-000233,CUST-00044,Professional,7047.22,USD,Paid,ACH Bank Transfer,2026-05-25,2026-05-26,Not Requested
INV-000234,CUST-00044,Professional,7047.22,USD,Paid,Credit Card,2026-06-24,2026-06-27,Not Requested
INV-000235,CUST-00044,Professional,7047.22,USD,Paid,Credit Card,2026-07-24,2026-07-26,Not Requested
INV-000236,CUST-00045,Starter,3601.08,USD,Failed,Credit Card,2025-08-28,,Not Requested
INV-000237,CUST-00046,Starter,3431.77,USD,Paid,Credit Card,2025-09-13,2025-09-14,Not Requested
INV-000238,CUST-00047,Professional,8015.54,USD,Paid,Credit Card,2025-08-28,2025-09-04,Not Requested
INV-000239,CUST-00047,Professional,8015.54,USD,Paid,Credit Card,2025-09-27,2025-09-30,Not Requested
INV-000240,CUST-00047,Professional,8015.54,USD,Paid,ACH Bank Transfer,2025-10-27,2025-10-27,Not Requested
INV-000241,CUST-00047,Professional,8015.54,USD,Paid,Credit Card,2025-11-26,2025-11-30,Not Requested
INV-000242,CUST-00047,Professional,8015.54,USD,Paid,Credit Card,2025-12-26,2025-12-26,Not Requested
INV-000243,CUST-00047,Professional,8015.54,USD,Paid,ACH Bank Transfer,2026-01-25,2026-01-26,Not Requested
INV-000244,CUST-00047,Professional,8015.54,USD,Refunded,Credit Card,2026-02-24,2026-03-01,Approved - Refunded
INV-000245,CUST-00047,Professional,8015.54,USD,Paid,Credit Card,2026-03-26,2026-04-02,Not Requested
INV-000246,CUST-00047,Professional,8015.54,USD,Paid,Credit Card,2026-04-25,2026-04-28,Not Requested
INV-000247,CUST-00047,Professional,8015.54,USD,Paid,Credit Card,2026-05-25,2026-05-29,Not Requested
INV-000248,CUST-00047,Professional,8015.54,USD,Paid,Credit Card,2026-06-24,2026-06-27,Not Requested
INV-000249,CUST-00047,Professional,8015.54,USD,Paid,Credit Card,2026-07-24,2026-07-27,Not Requested
INV-000250,CUST-00048,Starter,3545.56,USD,Paid,Credit Card,2025-08-28,2025-09-01,Not Requested
INV-000251,CUST-00049,Enterprise,1793039.2,CAD,Paid,ACH Bank Transfer,2025-08-28,2025-09-01,Not Requested
INV-000252,CUST-00050,Starter,680.32,USD,Paid,Credit Card,2025-08-28,2025-08-31,Not Requested
INV-000253,CUST-00050,Starter,680.32,USD,Paid,Credit Card,2025-09-27,2025-09-28,Not Requested
