request_id,customer_id,customer_plan,product_id,product_name,category,title,description,submitted_date,status,priority,votes,assigned_product_manager
FR-00015,CUST-00898,Starter,P005,CloudDesk Mobile,Accessibility,Improved screen reader support throughout the app,"We have a team member who relies on a screen reader, and several screens in the app aren't fully navigable with it currently.",2025-09-29,Duplicate,Medium,18,Jason Sherman
FR-00016,CUST-00109,Starter,P002,CloudDesk Tickets,Bulk Actions,Higher bulk action limits on Professional,"Our seasonal cleanup requires bulk-updating several thousand tickets at once, and the current Professional limit requires us to break this into many batches.",2024-07-08,Duplicate,Medium,31,Jason Sherman
FR-00017,CUST-00779,Enterprise,P002,CloudDesk Tickets,SLA,"SLA targets that vary by customer tier, not just priority","We'd like our SLA rules to also factor in the requesting customer's account tier, not only the ticket's priority level.",2026-01-11,Duplicate,High,8,Jason Sherman
FR-00018,CUST-00871,Professional,P001,CloudDesk Chat,Multi-language,Multi-language widget support on the Starter plan,Our team is small but multilingual. Being limited to a single widget language on Starter is a blocker even though we don't need the rest of Professional yet.,2026-02-03,Shipped,High,11,Donna Baird
FR-00019,CUST-00095,Professional,P005,CloudDesk Mobile,Accessibility,Improved screen reader support throughout the app,"We have a team member who relies on a screen reader, and several screens in the app aren't fully navigable with it currently.",2026-03-27,Under Review,Medium,1,Pamela Berry
FR-00020,CUST-00067,Starter,P001,CloudDesk Chat,Mobile SDK,In-app chat SDK support for React Native,Our mobile app is built in React Native and the current SDK only has native iOS/Android options. A React Native wrapper would save significant engineering time.,2025-11-27,Declined,Medium,8,Pamela Berry
FR-00021,CUST-00007,Professional,P004,CloudDesk API Platform,Sandbox,"Sandbox environment available on Professional, not just Enterprise",We're not yet at Enterprise scale but still want a safe environment to test integration changes before they touch production data.,2026-05-29,Duplicate,Medium,12,Donna Baird
FR-00022,CUST-00041,Starter,P005,CloudDesk Mobile,Analytics,Push notification when a specific metric on the mobile snapshot changes significantly,"We'd like an optional push alert when our mobile-visible performance snapshot shows an unusual shift, similar to desktop threshold alerts.",2026-03-10,Under Review,High,1,
FR-00023,CUST-00693,Professional,P003,CloudDesk Analytics,Reporting,Custom metric builder beyond the standard metric definitions,"We'd like to define our own calculated metrics (for example, a weighted composite score) rather than being limited to the standard, pre-defined metric set.",2025-08-11,Planned,Low,19,Jason Sherman
FR-00024,CUST-00773,Starter,P001,CloudDesk Chat,Automation,Proactive triggers based on cart abandonment specifically,Right now proactive triggers are time- and page-based. A trigger condition specifically for items sitting in an abandoned cart for X minutes would help our e-commerce use case.,2025-11-18,Declined,Low,5,Kelly Golden
FR-00025,CUST-00884,Starter,P005,CloudDesk Mobile,Security,Support for hardware security keys as a biometric lock alternative,"Some of our regulated-industry agents use hardware security keys rather than device biometrics, and we'd like that as a supported unlock method.",2025-07-26,Shipped,Medium,18,Jason Sherman
FR-00026,CUST-00508,Starter,P004,CloudDesk API Platform,Documentation,"Interactive, runnable code samples in multiple languages",The current code samples are helpful but only in a couple of languages. Runnable examples in more languages would speed up our integration work.,2026-02-08,Planned,Low,10,Kelly Golden
FR-00027,CUST-00859,Professional,P002,CloudDesk Tickets,Integrations,Two-way tag sync with our project management tool,Currently tags only sync to the linked issue at creation time. We'd like tags added after the fact to sync automatically as well.,2024-05-11,Under Review,Low,29,
FR-00028,CUST-00472,Starter,P005,CloudDesk Mobile,Analytics,Push notification when a specific metric on the mobile snapshot changes significantly,"We'd like an optional push alert when our mobile-visible performance snapshot shows an unusual shift, similar to desktop threshold alerts.",2024-11-27,Shipped,Low,23,Kelly Golden
FR-00029,CUST-00081,Starter,P001,CloudDesk Chat,Automation,Proactive triggers based on cart abandonment specifically,Right now proactive triggers are time- and page-based. A trigger condition specifically for items sitting in an abandoned cart for X minutes would help our e-commerce use case.,2024-06-01,Planned,Medium,31,Kelly Golden
FR-00030,CUST-00460,Starter,P005,CloudDesk Mobile,Security,Support for hardware security keys as a biometric lock alternative,"Some of our regulated-industry agents use hardware security keys rather than device biometrics, and we'd like that as a supported unlock method.",2026-04-07,Planned,Low,9,Emily Dominguez
FR-00031,CUST-00230,Professional,P003,CloudDesk Analytics,Export,More frequent data warehouse export scheduling,The current export schedule options aren't frequent enough for our near-real-time internal reporting needs. We'd like an hourly option.,2026-02-19,Under Review,Low,12,Donna Baird
FR-00032,CUST-00340,Professional,P004,CloudDesk API Platform,Documentation,"Interactive, runnable code samples in multiple languages",The current code samples are helpful but only in a couple of languages. Runnable examples in more languages would speed up our integration work.,2025-08-07,Declined,Low,13,Donna Baird
FR-00033,CUST-00529,Starter,P002,CloudDesk Tickets,Custom Fields,Field-level permissions on custom fields,"Some of our custom fields contain sensitive account information that only certain roles should be able to view or edit, not just ticket-level permissions.",2026-01-24,Declined,Medium,9,Pamela Berry
FR-00034,CUST-00194,Professional,P005,CloudDesk Mobile,Security,Support for hardware security keys as a biometric lock alternative,"Some of our regulated-industry agents use hardware security keys rather than device biometrics, and we'd like that as a supported unlock method.",2026-03-09,Under Review,High,4,
FR-00035,CUST-00289,Enterprise,P003,CloudDesk Analytics,Mobile,Fuller reporting detail available in the mobile snapshot,The mobile performance snapshot is helpful but too condensed for some of our quick decision-making. We'd like a middle-ground detail level.,2026-01-17,Planned,Medium,8,John Williams
FR-00036,CUST-00455,Professional,P005,CloudDesk Mobile,Analytics,Push notification when a specific metric on the mobile snapshot changes significantly,"We'd like an optional push alert when our mobile-visible performance snapshot shows an unusual shift, similar to desktop threshold alerts.",2026-01-08,Planned,Low,11,John Williams
FR-00037,CUST-00287,Professional,P002,CloudDesk Tickets,Bulk Actions,Higher bulk action limits on Professional,"Our seasonal cleanup requires bulk-updating several thousand tickets at once, and the current Professional limit requires us to break this into many batches.",2024-08-11,Declined,Low,30,Donna Baird
FR-00038,CUST-00135,Professional,P005,CloudDesk Mobile,Notifications,Per-team notification profiles,We support multiple product lines from one account and would like different notification rules depending on which team a ticket belongs to.,2026-02-15,Under Review,High,11,
FR-00039,CUST-00926,Starter,P005,CloudDesk Mobile,Offline,Fuller offline mode covering more than draft composition,"We'd like to view more cached ticket history and take more actions while fully offline, not just compose a reply for later sending.",2024-05-30,Duplicate,Medium,42,Kelly Golden
FR-00040,CUST-00392,Starter,P005,CloudDesk Mobile,UI/UX,Widget or home screen shortcut for quick status toggling,Switching availability status currently requires opening the app fully. A home screen widget for quick status toggling would save time between calls.,2024-01-04,In Progress,High,44,John Williams
FR-00041,CUST-00217,Professional,P005,CloudDesk Mobile,Security,Support for hardware security keys as a biometric lock alternative,"Some of our regulated-industry agents use hardware security keys rather than device biometrics, and we'd like that as a supported unlock method.",2026-04-22,Declined,Low,10,Pamela Berry
FR-00042,CUST-00942,Professional,P005,CloudDesk Mobile,Analytics,Push notification when a specific metric on the mobile snapshot changes significantly,"We'd like an optional push alert when our mobile-visible performance snapshot shows an unusual shift, similar to desktop threshold alerts.",2026-07-26,Under Review,Medium,1,Donna Baird
FR-00043,CUST-00311,Enterprise,P005,CloudDesk Mobile,Accessibility,Improved screen reader support throughout the app,"We have a team member who relies on a screen reader, and several screens in the app aren't fully navigable with it currently.",2026-02-27,Duplicate,High,12,Kelly Golden
FR-00044,CUST-00259,Enterprise,P003,CloudDesk Analytics,Dashboards,Dashboard version history and rollback,"When someone edits a shared dashboard's layout, we'd like to be able to see prior versions and roll back if the change wasn't an improvement.",2025-12-10,Planned,Medium,9,Jason Sherman
FR-00045,CUST-00203,Starter,P002,CloudDesk Tickets,Automation,Conditional logic within a single automation rule,We'd like to combine multiple AND/OR conditions within one automation rule rather than needing to build several separate rules to achieve the same outcome.,2024-02-01,Planned,Low,35,Emily Dominguez
FR-00046,CUST-00842,Professional,P004,CloudDesk API Platform,Webhooks,Webhook event filtering by tag or custom field value,We only care about a subset of ticket events based on a specific tag. Being able to filter webhook subscriptions server-side would reduce noise on our end.,2025-10-27,Under Review,Low,2,
FR-00047,CUST-00808,Enterprise,P002,CloudDesk Tickets,SLA,"SLA targets that vary by customer tier, not just priority","We'd like our SLA rules to also factor in the requesting customer's account tier, not only the ticket's priority level.",2025-06-11,Duplicate,Low,21,Pamela Berry
FR-00048,CUST-00329,Enterprise,P004,CloudDesk API Platform,Developer Experience,Official Python SDK client library,"We're currently wrapping the REST API ourselves in Python. An official, maintained client library would reduce our maintenance burden.",2025-12-15,Planned,Medium,11,Jason Sherman
FR-00049,CUST-00250,Professional,P004,CloudDesk API Platform,Rate Limits,Burst allowance above the steady-state rate limit,Our usage is generally well within limits but spikes briefly during specific automated jobs. A short burst allowance would avoid unnecessary 429 errors.,2024-03-04,In Progress,Medium,23,Kelly Golden
FR-00050,CUST-00460,Starter,P003,CloudDesk Analytics,Alerts,"Threshold alerts based on rate of change, not just absolute value","We'd like to be alerted when a metric changes rapidly (e.g., a 30% jump in an hour) rather than only when it crosses a fixed absolute threshold.",2025-11-07,Under Review,Medium,12,Donna Baird
FR-00051,CUST-00985,Professional,P004,CloudDesk API Platform,Documentation,"Interactive, runnable code samples in multiple languages",The current code samples are helpful but only in a couple of languages. Runnable examples in more languages would speed up our integration work.,2024-05-28,Shipped,Low,36,Jason Sherman
FR-00052,CUST-00309,Professional,P004,CloudDesk API Platform,Rate Limits,Burst allowance above the steady-state rate limit,Our usage is generally well within limits but spikes briefly during specific automated jobs. A short burst allowance would avoid unnecessary 429 errors.,2026-02-07,Under Review,Medium,16,
FR-00053,CUST-00163,Professional,P003,CloudDesk Analytics,Reporting,Cohort-based retention reporting for repeat contacts,"We'd like to see how often the same customer contacts support repeatedly over time, grouped by when they first became a customer.",2025-08-29,Duplicate,Medium,12,Donna Baird
FR-00054,CUST-00951,Enterprise,P002,CloudDesk Tickets,Reporting,Backlog aging report broken out by tag,"We'd like to see how long tickets with a specific tag sit in the backlog on average, not just overall backlog age.",2026-01-05,Shipped,Medium,4,Emily Dominguez
FR-00055,CUST-00607,Professional,P003,CloudDesk Analytics,Mobile,Fuller reporting detail available in the mobile snapshot,The mobile performance snapshot is helpful but too condensed for some of our quick decision-making. We'd like a middle-ground detail level.,2024-06-17,Planned,High,28,Kelly Golden
FR-00056,CUST-00628,Starter,P001,CloudDesk Chat,Widget Customization,Full custom CSS control over the chat widget,"We'd like more granular styling control over the chat widget beyond the current color and logo options, ideally full CSS override support for advanced branding needs.",2026-05-14,Under Review,Medium,1,Pamela Berry
FR-00057,CUST-00488,Starter,P004,CloudDesk API Platform,Developer Experience,Official Python SDK client library,"We're currently wrapping the REST API ourselves in Python. An official, maintained client library would reduce our maintenance burden.",2026-02-11,Declined,Low,5,Kelly Golden
FR-00058,CUST-00574,Starter,P002,CloudDesk Tickets,Automation,Conditional logic within a single automation rule,We'd like to combine multiple AND/OR conditions within one automation rule rather than needing to build several separate rules to achieve the same outcome.,2024-03-11,Declined,High,44,Donna Baird
FR-00059,CUST-00554,Starter,P004,CloudDesk API Platform,Bulk Operations,Asynchronous bulk export job status via webhook instead of polling,We currently poll for large export job completion. A webhook notification when a bulk job finishes would be more efficient for us.,2025-10-07,Under Review,Medium,12,
FR-00060,CUST-00390,Professional,P005,CloudDesk Mobile,Notifications,Per-team notification profiles,We support multiple product lines from one account and would like different notification rules depending on which team a ticket belongs to.,2024-02-01,Declined,Medium,37,John Williams
FR-00061,CUST-00919,Enterprise,P001,CloudDesk Chat,Integrations,Native integration with our specific e-commerce platform,"We use a smaller, regional e-commerce platform that isn't in the current integration marketplace. Would like to see native support rather than building our own via the API.",2024-07-13,Duplicate,Medium,32,Jason Sherman
FR-00062,CUST-00757,Enterprise,P004,CloudDesk API Platform,Rate Limits,Burst allowance above the steady-state rate limit,Our usage is generally well within limits but spikes briefly during specific automated jobs. A short burst allowance would avoid unnecessary 429 errors.,2026-07-30,In Progress,Medium,4,Donna Baird
FR-00063,CUST-00209,Starter,P002,CloudDesk Tickets,Custom Fields,Field-level permissions on custom fields,"Some of our custom fields contain sensitive account information that only certain roles should be able to view or edit, not just ticket-level permissions.",2026-07-30,Planned,High,4,Donna Baird
FR-00064,CUST-00104,Enterprise,P001,CloudDesk Chat,Multi-language,Multi-language widget support on the Starter plan,Our team is small but multilingual. Being limited to a single widget language on Starter is a blocker even though we don't need the rest of Professional yet.,2024-08-02,Under Review,Medium,18,
FR-00065,CUST-00268,Professional,P004,CloudDesk API Platform,Sandbox,"Sandbox environment available on Professional, not just Enterprise",We're not yet at Enterprise scale but still want a safe environment to test integration changes before they touch production data.,2025-01-21,Planned,Medium,32,Donna Baird
FR-00066,CUST-00202,Enterprise,P003,CloudDesk Analytics,Export,More frequent data warehouse export scheduling,The current export schedule options aren't frequent enough for our near-real-time internal reporting needs. We'd like an hourly option.,2026-03-02,Under Review,Critical,17,Donna Baird
FR-00067,CUST-00837,Starter,P001,CloudDesk Chat,Reporting,Chat-specific abandonment rate metric,"We'd like to see a report showing how many chat sessions are started but abandoned before an agent responds, broken out by time of day.",2026-05-16,Shipped,Medium,10,Jason Sherman
FR-00068,CUST-00870,Professional,P003,CloudDesk Analytics,Alerts,"Threshold alerts based on rate of change, not just absolute value","We'd like to be alerted when a metric changes rapidly (e.g., a 30% jump in an hour) rather than only when it crosses a fixed absolute threshold.",2025-01-08,Planned,Medium,24,Pamela Berry
FR-00069,CUST-00533,Enterprise,P002,CloudDesk Tickets,Automation,Conditional logic within a single automation rule,We'd like to combine multiple AND/OR conditions within one automation rule rather than needing to build several separate rules to achieve the same outcome.,2024-12-08,Planned,Low,26,Kelly Golden
FR-00070,CUST-00582,Professional,P002,CloudDesk Tickets,SLA,"SLA targets that vary by customer tier, not just priority","We'd like our SLA rules to also factor in the requesting customer's account tier, not only the ticket's priority level.",2026-08-01,Planned,High,1,John Williams
FR-00071,CUST-00282,Starter,P004,CloudDesk API Platform,Bulk Operations,Asynchronous bulk export job status via webhook instead of polling,We currently poll for large export job completion. A webhook notification when a bulk job finishes would be more efficient for us.,2026-03-12,Declined,Medium,11,Pamela Berry
FR-00072,CUST-00390,Professional,P005,CloudDesk Mobile,Notifications,Per-team notification profiles,We support multiple product lines from one account and would like different notification rules depending on which team a ticket belongs to.,2024-06-07,Shipped,High,47,Emily Dominguez
FR-00073,CUST-00894,Enterprise,P002,CloudDesk Tickets,SLA,"SLA targets that vary by customer tier, not just priority","We'd like our SLA rules to also factor in the requesting customer's account tier, not only the ticket's priority level.",2025-07-01,Planned,Medium,17,Jason Sherman
FR-00074,CUST-00789,Professional,P004,CloudDesk API Platform,Sandbox,"Sandbox environment available on Professional, not just Enterprise",We're not yet at Enterprise scale but still want a safe environment to test integration changes before they touch production data.,2024-09-26,Duplicate,High,24,Jason Sherman
FR-00075,CUST-00406,Professional,P001,CloudDesk Chat,Reporting,Chat-specific abandonment rate metric,"We'd like to see a report showing how many chat sessions are started but abandoned before an agent responds, broken out by time of day.",2026-03-28,In Progress,Low,1,Donna Baird
FR-00076,CUST-00875,Professional,P002,CloudDesk Tickets,Bulk Actions,Higher bulk action limits on Professional,"Our seasonal cleanup requires bulk-updating several thousand tickets at once, and the current Professional limit requires us to break this into many batches.",2025-10-19,In Progress,Medium,10,Jason Sherman
FR-00077,CUST-00896,Professional,P003,CloudDesk Analytics,Mobile,Fuller reporting detail available in the mobile snapshot,The mobile performance snapshot is helpful but too condensed for some of our quick decision-making. We'd like a middle-ground detail level.,2026-04-27,In Progress,Low,10,Emily Dominguez
FR-00078,CUST-00975,Starter,P004,CloudDesk API Platform,Bulk Operations,Asynchronous bulk export job status via webhook instead of polling,We currently poll for large export job completion. A webhook notification when a bulk job finishes would be more efficient for us.,2026-08-03,Under Review,Medium,10,John Williams
FR-00079,CUST-00007,Professional,P004,CloudDesk API Platform,Sandbox,"Sandbox environment available on Professional, not just Enterprise",We're not yet at Enterprise scale but still want a safe environment to test integration changes before they touch production data.,2025-11-23,Under Review,Medium,20,
FR-00080,CUST-00370,Starter,P001,CloudDesk Chat,Mobile SDK,In-app chat SDK support for React Native,Our mobile app is built in React Native and the current SDK only has native iOS/Android options. A React Native wrapper would save significant engineering time.,2025-09-17,Shipped,Low,6,Pamela Berry
FR-00081,CUST-00013,Starter,P004,CloudDesk API Platform,Developer Experience,Official Python SDK client library,"We're currently wrapping the REST API ourselves in Python. An official, maintained client library would reduce our maintenance burden.",2025-09-26,Under Review,Medium,19,
FR-00082,CUST-00575,Professional,P003,CloudDesk Analytics,Export,More frequent data warehouse export scheduling,The current export schedule options aren't frequent enough for our near-real-time internal reporting needs. We'd like an hourly option.,2024-12-28,Duplicate,Low,17,John Williams
FR-00083,CUST-00057,Professional,P002,CloudDesk Tickets,Bulk Actions,Higher bulk action limits on Professional,"Our seasonal cleanup requires bulk-updating several thousand tickets at once, and the current Professional limit requires us to break this into many batches.",2026-03-03,Planned,Low,2,Donna Baird
FR-00084,CUST-00904,Enterprise,P004,CloudDesk API Platform,Rate Limits,Burst allowance above the steady-state rate limit,Our usage is generally well within limits but spikes briefly during specific automated jobs. A short burst allowance would avoid unnecessary 429 errors.,2024-03-05,Planned,Low,31,Pamela Berry
FR-00085,CUST-00763,Starter,P002,CloudDesk Tickets,Automation,Conditional logic within a single automation rule,We'd like to combine multiple AND/OR conditions within one automation rule rather than needing to build several separate rules to achieve the same outcome.,2024-06-15,Under Review,Medium,34,Jason Sherman
FR-00086,CUST-00466,Professional,P001,CloudDesk Chat,Multi-language,Multi-language widget support on the Starter plan,Our team is small but multilingual. Being limited to a single widget language on Starter is a blocker even though we don't need the rest of Professional yet.,2024-06-07,Planned,Critical,22,Kelly Golden
FR-00087,CUST-00177,Professional,P001,CloudDesk Chat,Widget Customization,Full custom CSS control over the chat widget,"We'd like more granular styling control over the chat widget beyond the current color and logo options, ideally full CSS override support for advanced branding needs.",2025-09-24,Shipped,High,11,John Williams
FR-00088,CUST-00639,Starter,P002,CloudDesk Tickets,Bulk Actions,Higher bulk action limits on Professional,"Our seasonal cleanup requires bulk-updating several thousand tickets at once, and the current Professional limit requires us to break this into many batches.",2024-03-06,Under Review,Medium,26,John Williams
FR-00089,CUST-00579,Professional,P005,CloudDesk Mobile,UI/UX,Widget or home screen shortcut for quick status toggling,Switching availability status currently requires opening the app fully. A home screen widget for quick status toggling would save time between calls.,2025-02-28,Duplicate,High,9,Emily Dominguez
FR-00090,CUST-00753,Starter,P001,CloudDesk Chat,Mobile SDK,In-app chat SDK support for React Native,Our mobile app is built in React Native and the current SDK only has native iOS/Android options. A React Native wrapper would save significant engineering time.,2026-05-23,Under Review,Medium,1,John Williams
FR-00091,CUST-00289,Enterprise,P004,CloudDesk API Platform,Sandbox,"Sandbox environment available on Professional, not just Enterprise",We're not yet at Enterprise scale but still want a safe environment to test integration changes before they touch production data.,2025-06-12,Shipped,Medium,18,Jason Sherman
FR-00092,CUST-00919,Enterprise,P001,CloudDesk Chat,Automation,Proactive triggers based on cart abandonment specifically,Right now proactive triggers are time- and page-based. A trigger condition specifically for items sitting in an abandoned cart for X minutes would help our e-commerce use case.,2025-02-12,Planned,Low,21,Emily Dominguez
FR-00093,CUST-00102,Professional,P004,CloudDesk API Platform,Webhooks,Webhook event filtering by tag or custom field value,We only care about a subset of ticket events based on a specific tag. Being able to filter webhook subscriptions server-side would reduce noise on our end.,2024-09-26,Under Review,Medium,21,
FR-00094,CUST-00975,Starter,P002,CloudDesk Tickets,Integrations,Two-way tag sync with our project management tool,Currently tags only sync to the linked issue at creation time. We'd like tags added after the fact to sync automatically as well.,2026-07-25,Under Review,High,1,Kelly Golden
FR-00095,CUST-00712,Professional,P002,CloudDesk Tickets,Integrations,Two-way tag sync with our project management tool,Currently tags only sync to the linked issue at creation time. We'd like tags added after the fact to sync automatically as well.,2025-02-13,Planned,Low,25,Jason Sherman
FR-00096,CUST-00784,Professional,P004,CloudDesk API Platform,Bulk Operations,Asynchronous bulk export job status via webhook instead of polling,We currently poll for large export job completion. A webhook notification when a bulk job finishes would be more efficient for us.,2026-04-24,Under Review,Medium,6,
FR-00097,CUST-00294,Professional,P001,CloudDesk Chat,Reporting,Chat-specific abandonment rate metric,"We'd like to see a report showing how many chat sessions are started but abandoned before an agent responds, broken out by time of day.",2026-07-27,Under Review,Low,1,
FR-00098,CUST-00643,Professional,P002,CloudDesk Tickets,Reporting,Backlog aging report broken out by tag,"We'd like to see how long tickets with a specific tag sit in the backlog on average, not just overall backlog age.",2026-02-09,Declined,High,10,Emily Dominguez
FR-00099,CUST-00045,Starter,P002,CloudDesk Tickets,Custom Fields,Field-level permissions on custom fields,"Some of our custom fields contain sensitive account information that only certain roles should be able to view or edit, not just ticket-level permissions.",2025-12-07,Duplicate,Critical,3,Emily Dominguez
FR-00100,CUST-00246,Starter,P005,CloudDesk Mobile,Notifications,Per-team notification profiles,We support multiple product lines from one account and would like different notification rules depending on which team a ticket belongs to.,2024-12-09,Shipped,Low,32,Kelly Golden
FR-00101,CUST-00050,Starter,P005,CloudDesk Mobile,Offline,Fuller offline mode covering more than draft composition,"We'd like to view more cached ticket history and take more actions while fully offline, not just compose a reply for later sending.",2025-12-16,Planned,Medium,12,Emily Dominguez
FR-00102,CUST-00415,Starter,P003,CloudDesk Analytics,Reporting,Custom metric builder beyond the standard metric definitions,"We'd like to define our own calculated metrics (for example, a weighted composite score) rather than being limited to the standard, pre-defined metric set.",2026-01-06,Under Review,Low,6,John Williams
FR-00103,CUST-00424,Starter,P001,CloudDesk Chat,Integrations,Native integration with our specific e-commerce platform,"We use a smaller, regional e-commerce platform that isn't in the current integration marketplace. Would like to see native support rather than building our own via the API.",2024-09-06,Under Review,Low,27,Jason Sherman
FR-00104,CUST-00187,Starter,P002,CloudDesk Tickets,Automation,Conditional logic within a single automation rule,We'd like to combine multiple AND/OR conditions within one automation rule rather than needing to build several separate rules to achieve the same outcome.,2026-07-14,Under Review,Medium,1,Pamela Berry
FR-00105,CUST-00913,Professional,P002,CloudDesk Tickets,Integrations,Two-way tag sync with our project management tool,Currently tags only sync to the linked issue at creation time. We'd like tags added after the fact to sync automatically as well.,2025-10-10,Declined,Medium,10,Donna Baird
FR-00106,CUST-00319,Starter,P001,CloudDesk Chat,Widget Customization,Full custom CSS control over the chat widget,"We'd like more granular styling control over the chat widget beyond the current color and logo options, ideally full CSS override support for advanced branding needs.",2024-11-29,Under Review,Medium,22,
FR-00107,CUST-00796,Enterprise,P001,CloudDesk Chat,Mobile SDK,In-app chat SDK support for React Native,Our mobile app is built in React Native and the current SDK only has native iOS/Android options. A React Native wrapper would save significant engineering time.,2025-04-22,Under Review,High,13,
FR-00108,CUST-00867,Enterprise,P002,CloudDesk Tickets,Automation,Conditional logic within a single automation rule,We'd like to combine multiple AND/OR conditions within one automation rule rather than needing to build several separate rules to achieve the same outcome.,2025-10-14,Under Review,High,13,John Williams
FR-00109,CUST-00436,Professional,P003,CloudDesk Analytics,Reporting,Custom metric builder beyond the standard metric definitions,"We'd like to define our own calculated metrics (for example, a weighted composite score) rather than being limited to the standard, pre-defined metric set.",2025-10-30,Declined,Low,6,Kelly Golden
FR-00110,CUST-00295,Starter,P003,CloudDesk Analytics,Dashboards,Dashboard version history and rollback,"When someone edits a shared dashboard's layout, we'd like to be able to see prior versions and roll back if the change wasn't an improvement.",2024-11-13,Duplicate,Low,28,Pamela Berry
FR-00111,CUST-00193,Enterprise,P003,CloudDesk Analytics,Mobile,Fuller reporting detail available in the mobile snapshot,The mobile performance snapshot is helpful but too condensed for some of our quick decision-making. We'd like a middle-ground detail level.,2025-11-25,Under Review,High,18,
FR-00112,CUST-00498,Professional,P001,CloudDesk Chat,Multi-language,Multi-language widget support on the Starter plan,Our team is small but multilingual. Being limited to a single widget language on Starter is a blocker even though we don't need the rest of Professional yet.,2025-11-23,Under Review,High,22,
FR-00113,CUST-00410,Enterprise,P002,CloudDesk Tickets,Bulk Actions,Higher bulk action limits on Professional,"Our seasonal cleanup requires bulk-updating several thousand tickets at once, and the current Professional limit requires us to break this into many batches.",2024-08-17,Shipped,High,32,John Williams
FR-00114,CUST-00506,Starter,P002,CloudDesk Tickets,Reporting,Backlog aging report broken out by tag,"We'd like to see how long tickets with a specific tag sit in the backlog on average, not just overall backlog age.",2025-10-13,Declined,Low,11,Emily Dominguez
FR-00115,CUST-00951,Enterprise,P004,CloudDesk API Platform,Bulk Operations,Asynchronous bulk export job status via webhook instead of polling,We currently poll for large export job completion. A webhook notification when a bulk job finishes would be more efficient for us.,2025-07-06,Shipped,High,31,Donna Baird
