ticket_id,customer_id,created_date,priority,department,category,subject,message,assigned_agent,resolution,status,sentiment,resolution_time,escalation
TKT-000026,CUST-00997,2024-10-15 01:16,Normal,Account Management,Account Admin,Reviewing our current plan usage,We need some help managing our account — we'd like a summary of our current seat and feature usage ahead of renewal. Let us know what you need from us to get this handled.,Zara Ahmed,,Open,Negative,,No
TKT-000027,CUST-00146,2026-07-30 02:32,High,Security,Security,Need audit log export for compliance review,"We have a security-related question or request — an export of our audit logs to support an upcoming internal compliance review. Given the nature of this, we'd appreciate a prompt response.",Sam Delgado,Issue identified as a caching delay; resolved by waiting for propagation and reverifying. Confirmed working with the customer.,Closed,Neutral,5.0,Yes
TKT-000028,CUST-00454,2026-05-28 22:33,Normal,Billing,Billing,Trial converted to paid unexpectedly,We have a question about our billing — we were charged even though we believed we were still within our trial period. Could someone from your billing team clarify this for us?,Sarah Chen,Walked the customer through clearing cached data and reloading. Root cause was a browser extension conflict.,Resolved,Negative,18.7,No
TKT-000029,CUST-00159,2026-02-06 17:51,Normal,Product & Feature Requests,Feature Request,Suggestion for chat widget customization,We wanted to pass along a feature suggestion — more granular control over chat widget font and spacing customization. This would make a meaningful difference for our team's workflow.,Diego Morales,Escalated internally; engineering confirmed a browser extension conflict and applied updating the relevant configuration setting.,Resolved,Positive,25.2,No
TKT-000030,CUST-00243,2019-07-28 22:57,High,Account Management,Account Admin,Request to deactivate former employee,We need some help managing our account — we need to deactivate a former employee's account as part of our offboarding process. Let us know what you need from us to get this handled.,Owen Fitzgerald,Issue identified as an outdated integration credential; resolved by correcting the field identifier reference. Confirmed working with the customer.,Resolved,Neutral,9.4,No
TKT-000031,CUST-00661,2024-11-29 22:21,High,Onboarding,Onboarding,Guidance on configuring SLA targets,We're in the process of setting up Corvex Cloud and could use some guidance — we need guidance on setting appropriate SLA targets for our team's priority levels. Happy to hop on a call if that's easier.,Yuki Tanaka,Escalated internally; engineering confirmed a browser extension conflict and applied rotating the affected credential.,Resolved,Negative,0.2,No
TKT-000032,CUST-00733,2024-02-04 15:15,Normal,Onboarding,Onboarding,Setting up first custom dashboard,We're in the process of setting up Corvex Cloud and could use some guidance — we're building our first custom dashboard and want guidance on best practices. Happy to hop on a call if that's easier.,Mia Rodriguez,Escalated internally; engineering confirmed a caching delay and applied reauthorizing the integration.,Resolved,Positive,11.5,No
TKT-000033,CUST-00253,2026-08-03 11:37,Low,Product & Feature Requests,Feature Request,Requesting bulk action improvements,We wanted to pass along a feature suggestion — a higher bulk action limit on our current plan tier for large-scale ticket cleanup. This would make a meaningful difference for our team's workflow.,Zara Ahmed,Walked the customer through upgrading to the appropriate plan tier. Root cause was a caching delay.,Resolved,Negative,71.4,No
TKT-000034,CUST-00771,2020-01-27 09:56,High,Account Management,Account Admin,Reviewing our current plan usage,We need some help managing our account — we'd like a summary of our current seat and feature usage ahead of renewal. Let us know what you need from us to get this handled.,Noah Bennett,,Open,Neutral,,Yes
TKT-000035,CUST-00046,2026-01-27 02:33,Normal,Product & Feature Requests,Feature Request,Requesting bulk action improvements,We wanted to pass along a feature suggestion — a higher bulk action limit on our current plan tier for large-scale ticket cleanup. This would make a meaningful difference for our team's workflow.,Amara Chukwu,,Open,Neutral,,No
TKT-000036,CUST-00216,2024-10-01 15:07,High,Security,Security,Suspicious login activity on account,"We have a security-related question or request — we noticed a login from an unexpected location and want it investigated. Given the nature of this, we'd appreciate a prompt response.",James Okafor,Issue identified as a misconfigured routing rule; resolved by upgrading to the appropriate plan tier. Confirmed working with the customer.,Closed,Neutral,10.0,Yes
TKT-000037,CUST-00945,2022-07-22 03:52,Normal,Product & Feature Requests,Feature Request,Would like multi-brand support on lower tier,"We wanted to pass along a feature suggestion — multi-brand widget support currently limited to Enterprise, which is a stretch for our team size. This would make a meaningful difference for our team's workflow.",Ava Thompson,Walked the customer through reauthorizing the integration. Root cause was an expired authentication token.,Resolved,Negative,19.9,No
TKT-000038,CUST-00950,2025-04-01 00:00,Normal,Account Management,Account Admin,Need to add new agent seats,We need some help managing our account — we're onboarding several new hires and need to add agent seats to our account. Let us know what you need from us to get this handled.,Priya Desai,Provided documentation and guided customer through reauthorizing the integration to address a plan-tier feature limitation.,Resolved,Neutral,18.9,No
TKT-000039,CUST-00844,2024-04-01 20:06,Low,Onboarding,Onboarding,Migrating historical tickets from previous platform,We're in the process of setting up Corvex Cloud and could use some guidance — we're migrating several years of historical tickets from our previous support platform. Happy to hop on a call if that's easier.,Ethan Park,Issue identified as a caching delay; resolved by correcting the field identifier reference. Confirmed working with the customer.,Closed,Positive,24.5,No
TKT-000040,CUST-00119,2022-09-23 01:10,Normal,Security,Security,Need audit log export for compliance review,"We have a security-related question or request — an export of our audit logs to support an upcoming internal compliance review. Given the nature of this, we'd appreciate a prompt response.",Priya Desai,Issue identified as an expired authentication token; resolved by updating the relevant configuration setting. Confirmed working with the customer.,Resolved,Neutral,11.0,No
TKT-000041,CUST-00108,2024-11-25 12:57,Low,Technical Support,Account Access,SSO login failing,"We're having trouble accessing our account — SSO login redirects back to the login screen without completing authentication. This is blocking our team from working, so any urgency you can provide is appreciated.",Priya Desai,Walked the customer through upgrading to the appropriate plan tier. Root cause was an incorrect field mapping.,Resolved,Neutral,79.9,No
TKT-000042,CUST-00220,2016-05-31 22:32,Normal,Billing,Billing,Need a copy of last invoice,We have a question about our billing — we need an itemized copy of our last invoice for our own accounting records. Could someone from your billing team clarify this for us?,Ingrid Solberg,Walked the customer through updating the relevant configuration setting. Root cause was an outdated integration credential.,Resolved,Neutral,15.9,No
TKT-000043,CUST-00783,2024-05-25 13:08,High,Technical Support,Analytics,Scheduled report not arriving,"Our CloudDesk Analytics dashboard isn't behaving as expected — our weekly scheduled report stopped arriving in our inbox. We use this report regularly for our team standup, so we'd like this resolved soon.",Lucia Ferrari,Provided documentation and guided customer through reauthorizing the integration to address a browser extension conflict.,Closed,Neutral,2.1,Yes
TKT-000044,CUST-00294,2022-11-06 18:19,High,Product & Feature Requests,Feature Request,Suggestion for chat widget customization,We wanted to pass along a feature suggestion — more granular control over chat widget font and spacing customization. This would make a meaningful difference for our team's workflow.,Freya Lindqvist,,Pending,Neutral,,No
TKT-000045,CUST-00068,2025-10-02 05:25,Normal,Billing,Billing,Requesting refund for duplicate charge,We have a question about our billing — we were charged twice for the same billing period and would like this corrected. Could someone from your billing team clarify this for us?,Yuki Tanaka,Issue identified as an incorrect field mapping; resolved by reauthorizing the integration. Confirmed working with the customer.,Resolved,Negative,0.2,No
TKT-000046,CUST-00235,2024-09-30 01:56,Urgent,Account Management,Account Admin,Request to deactivate former employee,We need some help managing our account — we need to deactivate a former employee's account as part of our offboarding process. Let us know what you need from us to get this handled.,Caleb Foster,Issue identified as a caching delay; resolved by upgrading to the appropriate plan tier. Confirmed working with the customer.,Resolved,Negative,2.0,No
TKT-000047,CUST-00160,2026-04-12 22:02,Normal,Technical Support,Api Platform,Rate limit reached unexpectedly,"We're integrating with the CloudDesk API Platform and running into an issue — we're hitting our rate limit much sooner than our request volume would suggest. Here's what we've checked on our end so far, but wanted to confirm with your team.",Kwame Mensah,Walked the customer through reauthorizing the integration. Root cause was an outdated integration credential.,Resolved,Neutral,28.3,No
TKT-000048,CUST-00614,2025-09-16 05:05,Normal,Security,Security,Requesting SSO configuration assistance,"We have a security-related question or request — help finishing our SAML SSO configuration, since our test login isn't completing. Given the nature of this, we'd appreciate a prompt response.",Owen Fitzgerald,Escalated internally; engineering confirmed an expired authentication token and applied adjusting the widget installation snippet.,Resolved,Positive,22.5,No
TKT-000049,CUST-00701,2020-04-25 19:24,High,Security,Security,Suspicious login activity on account,"We have a security-related question or request — we noticed a login from an unexpected location and want it investigated. Given the nature of this, we'd appreciate a prompt response.",Freya Lindqvist,Escalated internally; engineering confirmed an incorrect field mapping and applied waiting for propagation and reverifying.,Closed,Negative,11.4,No
TKT-000050,CUST-00638,2024-01-04 00:53,Normal,Product & Feature Requests,Feature Request,Would like multi-brand support on lower tier,"We wanted to pass along a feature suggestion — multi-brand widget support currently limited to Enterprise, which is a stretch for our team size. This would make a meaningful difference for our team's workflow.",Chloe Martin,,Open,Negative,,No
TKT-000051,CUST-00492,2021-08-11 17:06,Low,Account Management,Account Admin,Reviewing our current plan usage,We need some help managing our account — we'd like a summary of our current seat and feature usage ahead of renewal. Let us know what you need from us to get this handled.,Ethan Park,Walked the customer through reauthorizing the integration. Root cause was an expired authentication token.,Resolved,Positive,94.9,No
TKT-000052,CUST-00812,2022-03-21 20:39,Normal,Technical Support,Api Platform,Pagination returning duplicate records,"We're integrating with the CloudDesk API Platform and running into an issue — iterating through paginated ticket results is returning the same record twice. Here's what we've checked on our end so far, but wanted to confirm with your team.",Diego Morales,,Pending,Neutral,,No
TKT-000053,CUST-00529,2025-11-25 14:54,High,Product & Feature Requests,Feature Request,Requesting a new reporting feature,We wanted to pass along a feature suggestion — a way to schedule dashboard exports more frequently than the current options allow. This would make a meaningful difference for our team's workflow.,Sarah Chen,Issue identified as an expired authentication token; resolved by adjusting the widget installation snippet. Confirmed working with the customer.,Resolved,Positive,7.0,No
TKT-000054,CUST-00201,2026-08-03 01:26,Low,Onboarding,Onboarding,Help setting up chat widget for the first time,We're in the process of setting up Corvex Cloud and could use some guidance — we're configuring the chat widget for the first time and want to confirm we're doing it correctly. Happy to hop on a call if that's easier.,James Okafor,Provided documentation and guided customer through adjusting the widget installation snippet to address an outdated integration credential.,Closed,Neutral,72.1,No
TKT-000055,CUST-00205,2025-04-02 11:41,Low,Technical Support,Tickets Workflow,Merge tickets option missing,"We've run into a problem with CloudDesk Tickets — we can't find the merge option to combine two duplicate tickets. Our team relies on this working correctly for day-to-day queue management, so any help is appreciated.",Nora Kowalski,Resolved after updating configuration — waiting for propagation and reverifying. Customer confirmed resolution.,Resolved,Neutral,40.8,No
TKT-000056,CUST-00721,2025-04-03 06:39,Low,Onboarding,Onboarding,Help setting up chat widget for the first time,We're in the process of setting up Corvex Cloud and could use some guidance — we're configuring the chat widget for the first time and want to confirm we're doing it correctly. Happy to hop on a call if that's easier.,Amara Chukwu,Walked the customer through correcting the field identifier reference. Root cause was a plan-tier feature limitation.,Resolved,Positive,69.4,No
TKT-000057,CUST-00451,2022-07-17 04:22,Low,Onboarding,Onboarding,Migrating historical tickets from previous platform,We're in the process of setting up Corvex Cloud and could use some guidance — we're migrating several years of historical tickets from our previous support platform. Happy to hop on a call if that's easier.,Lucia Ferrari,Issue identified as an incorrect field mapping; resolved by reauthorizing the integration. Confirmed working with the customer.,Closed,Neutral,4.5,No
TKT-000058,CUST-00059,2023-02-08 10:00,Urgent,Onboarding,Onboarding,Help setting up chat widget for the first time,We're in the process of setting up Corvex Cloud and could use some guidance — we're configuring the chat widget for the first time and want to confirm we're doing it correctly. Happy to hop on a call if that's easier.,Ethan Park,Provided documentation and guided customer through waiting for propagation and reverifying to address a misconfigured routing rule.,Closed,Negative,1.0,No
TKT-000059,CUST-00039,2023-10-10 09:42,Normal,Account Management,Account Admin,Requesting account ownership transfer,We need some help managing our account — our account owner is leaving the company and we need to transfer ownership. Let us know what you need from us to get this handled.,Finn O'Brien,,Pending,Positive,,No
TKT-000060,CUST-00577,2026-03-05 14:04,High,Security,Security,Suspicious login activity on account,"We have a security-related question or request — we noticed a login from an unexpected location and want it investigated. Given the nature of this, we'd appreciate a prompt response.",Noah Bennett,,Pending,Positive,,Yes
TKT-000061,CUST-00514,2024-07-28 15:11,High,Security,Security,API key rotation policy question,"We have a security-related question or request — clarification on how our configured API key rotation policy affects active integrations. Given the nature of this, we'd appreciate a prompt response.",Victor Nguyen,Walked the customer through updating the relevant configuration setting. Root cause was a plan-tier feature limitation.,Closed,Negative,6.3,No
TKT-000062,CUST-00124,2025-11-13 02:22,Normal,Product & Feature Requests,Feature Request,Would like multi-brand support on lower tier,"We wanted to pass along a feature suggestion — multi-brand widget support currently limited to Enterprise, which is a stretch for our team size. This would make a meaningful difference for our team's workflow.",Ava Thompson,Issue identified as an incorrect field mapping; resolved by rotating the affected credential. Confirmed working with the customer.,Resolved,Positive,10.0,No
TKT-000063,CUST-00255,2022-05-31 22:46,Low,Account Management,Account Admin,Reviewing our current plan usage,We need some help managing our account — we'd like a summary of our current seat and feature usage ahead of renewal. Let us know what you need from us to get this handled.,Yuki Tanaka,Provided documentation and guided customer through updating the relevant configuration setting to address an outdated integration credential.,Closed,Neutral,50.6,No
TKT-000064,CUST-00457,2018-02-14 17:04,High,Account Management,Account Admin,Request to deactivate former employee,We need some help managing our account — we need to deactivate a former employee's account as part of our offboarding process. Let us know what you need from us to get this handled.,Ava Thompson,,Pending,Positive,,No
TKT-000065,CUST-00528,2025-09-20 15:06,Normal,Billing,Billing,Question about invoice charge,We have a question about our billing — a line item on our latest invoice doesn't match what we expected to be charged. Could someone from your billing team clarify this for us?,Amara Chukwu,,Open,Neutral,,No
TKT-000066,CUST-00029,2026-07-30 21:40,Urgent,Account Management,Account Admin,Need to add new agent seats,We need some help managing our account — we're onboarding several new hires and need to add agent seats to our account. Let us know what you need from us to get this handled.,Caleb Foster,Issue identified as an incorrect field mapping; resolved by clearing cached data and reloading. Confirmed working with the customer.,Closed,Neutral,2.8,Yes
TKT-000067,CUST-00857,2021-12-21 19:59,Normal,Product & Feature Requests,Feature Request,Would like multi-brand support on lower tier,"We wanted to pass along a feature suggestion — multi-brand widget support currently limited to Enterprise, which is a stretch for our team size. This would make a meaningful difference for our team's workflow.",Sam Delgado,,Open,Negative,,No
TKT-000068,CUST-00951,2025-11-18 14:12,High,Product & Feature Requests,Feature Request,Suggestion for chat widget customization,We wanted to pass along a feature suggestion — more granular control over chat widget font and spacing customization. This would make a meaningful difference for our team's workflow.,Leo Schneider,Provided documentation and guided customer through waiting for propagation and reverifying to address a plan-tier feature limitation.,Resolved,Negative,7.5,No
TKT-000069,CUST-00955,2021-06-04 03:12,Normal,Technical Support,Chat Widget,Chat widget not loading,"Hi team, we're seeing an issue with the CloudDesk Chat widget on our site — the widget doesn't appear on our product pages at all. This started over the weekend and is affecting our support queue. Can someone take a look?",Amara Chukwu,Walked the customer through clearing cached data and reloading. Root cause was an expired authentication token.,Resolved,Neutral,20.7,No
TKT-000070,CUST-00610,2023-10-03 11:45,Normal,Security,Security,Requesting SSO configuration assistance,"We have a security-related question or request — help finishing our SAML SSO configuration, since our test login isn't completing. Given the nature of this, we'd appreciate a prompt response.",Noah Bennett,,Open,Neutral,,No
TKT-000071,CUST-00434,2025-07-22 20:10,Urgent,Onboarding,Onboarding,Migrating historical tickets from previous platform,We're in the process of setting up Corvex Cloud and could use some guidance — we're migrating several years of historical tickets from our previous support platform. Happy to hop on a call if that's easier.,James Okafor,Provided documentation and guided customer through reauthorizing the integration to address an outdated integration credential.,Closed,Negative,2.3,No
TKT-000072,CUST-00731,2017-11-30 04:15,Low,Technical Support,Account Access,Cannot log in to agent workspace,"We're having trouble accessing our account — an agent can't log in despite using what they confirm is the correct password. This is blocking our team from working, so any urgency you can provide is appreciated.",Sam Delgado,Resolved after updating configuration — clearing cached data and reloading. Customer confirmed resolution.,Resolved,Neutral,38.3,No
TKT-000073,CUST-00708,2023-09-11 18:37,Low,Account Management,Account Admin,Reviewing our current plan usage,We need some help managing our account — we'd like a summary of our current seat and feature usage ahead of renewal. Let us know what you need from us to get this handled.,Amara Chukwu,,Pending,Neutral,,No
TKT-000074,CUST-00687,2025-11-21 10:19,Urgent,Account Management,Account Admin,Need to add new agent seats,We need some help managing our account — we're onboarding several new hires and need to add agent seats to our account. Let us know what you need from us to get this handled.,Freya Lindqvist,Provided documentation and guided customer through rotating the affected credential to address a plan-tier feature limitation.,Closed,Neutral,3.9,No
TKT-000075,CUST-00273,2025-06-22 09:21,Low,Billing,Billing,Question about invoice charge,We have a question about our billing — a line item on our latest invoice doesn't match what we expected to be charged. Could someone from your billing team clarify this for us?,Lucia Ferrari,Provided documentation and guided customer through adjusting the widget installation snippet to address a caching delay.,Closed,Positive,50.5,No
TKT-000076,CUST-00417,2024-11-01 17:27,Urgent,Billing,Billing,Question about invoice charge,We have a question about our billing — a line item on our latest invoice doesn't match what we expected to be charged. Could someone from your billing team clarify this for us?,Freya Lindqvist,,Pending,Negative,,No
TKT-000077,CUST-00514,2025-02-08 15:54,Normal,Onboarding,Onboarding,Guidance on configuring SLA targets,We're in the process of setting up Corvex Cloud and could use some guidance — we need guidance on setting appropriate SLA targets for our team's priority levels. Happy to hop on a call if that's easier.,Nora Kowalski,Resolved after updating configuration — updating the relevant configuration setting. Customer confirmed resolution.,Resolved,Negative,3.9,No
TKT-000078,CUST-00023,2026-06-25 14:26,Urgent,Account Management,Account Admin,Need to add new agent seats,We need some help managing our account — we're onboarding several new hires and need to add agent seats to our account. Let us know what you need from us to get this handled.,Ravi Iyer,Walked the customer through clearing cached data and reloading. Root cause was a browser extension conflict.,Resolved,Negative,1.9,Yes
TKT-000079,CUST-00737,2021-07-15 19:57,Urgent,Billing,Billing,Seat count discrepancy on invoice,We have a question about our billing — the seat count on our invoice doesn't match our actual active user count. Could someone from your billing team clarify this for us?,Caleb Foster,Escalated internally; engineering confirmed a misconfigured routing rule and applied clearing cached data and reloading.,Resolved,Negative,1.6,No
TKT-000080,CUST-00286,2025-05-04 22:25,Low,Account Management,Account Admin,Need to add new agent seats,We need some help managing our account — we're onboarding several new hires and need to add agent seats to our account. Let us know what you need from us to get this handled.,Ava Thompson,Issue identified as an outdated integration credential; resolved by rotating the affected credential. Confirmed working with the customer.,Resolved,Positive,53.3,No
TKT-000081,CUST-00866,2017-06-20 18:04,Low,Security,Security,Need audit log export for compliance review,"We have a security-related question or request — an export of our audit logs to support an upcoming internal compliance review. Given the nature of this, we'd appreciate a prompt response.",Yuki Tanaka,Resolved after updating configuration — reauthorizing the integration. Customer confirmed resolution.,Closed,Neutral,26.2,No
TKT-000082,CUST-00565,2019-03-06 07:57,Normal,Technical Support,Api Platform,Pagination returning duplicate records,"We're integrating with the CloudDesk API Platform and running into an issue — iterating through paginated ticket results is returning the same record twice. Here's what we've checked on our end so far, but wanted to confirm with your team.",Ravi Iyer,,Open,Positive,,No
TKT-000083,CUST-00860,2026-05-08 02:56,Normal,Onboarding,Onboarding,Migrating historical tickets from previous platform,We're in the process of setting up Corvex Cloud and could use some guidance — we're migrating several years of historical tickets from our previous support platform. Happy to hop on a call if that's easier.,Ravi Iyer,Escalated internally; engineering confirmed a DNS propagation delay and applied waiting for propagation and reverifying.,Closed,Neutral,33.6,No
TKT-000084,CUST-00320,2024-10-17 19:05,Urgent,Account Management,Account Admin,Requesting account ownership transfer,We need some help managing our account — our account owner is leaving the company and we need to transfer ownership. Let us know what you need from us to get this handled.,Lucia Ferrari,,Open,Negative,,No
TKT-000085,CUST-00696,2023-10-01 05:56,Low,Security,Security,Need audit log export for compliance review,"We have a security-related question or request — an export of our audit logs to support an upcoming internal compliance review. Given the nature of this, we'd appreciate a prompt response.",Ethan Park,,Open,Positive,,Yes
TKT-000086,CUST-00081,2023-05-01 17:50,Normal,Technical Support,Tickets Workflow,Custom field values not saving,"We've run into a problem with CloudDesk Tickets — values entered into a custom field aren't persisting after we navigate away. Our team relies on this working correctly for day-to-day queue management, so any help is appreciated.",Ava Thompson,Walked the customer through adjusting the widget installation snippet. Root cause was a DNS propagation delay.,Closed,Negative,19.5,No
